MF,NF,FAR,PCAVAR,PCAKNN,DSVAR,DSKNN,MPVAR,MPKNN,DSRF
199.981880084747,382.510502414714,197.365791785724,219.05791725201,255.04308888278,218.440866008568,251.191747640731,215.508133513603,232.987706555364,214.131835115636
124.256664976712,234.719040499803,123.485764522111,139.473386573562,183.044396050455,139.213431510116,192.306974275155,137.62300184107,152.29269106019,122.498108265403
143.411784888661,281.717846703989,142.424104472613,142.122472548935,187.105978675629,145.442993777169,190.93453024801,145.193657080119,158.804452264083,159.596369579114
133.866038947572,266.408716696952,132.395017718792,165.275055398802,186.9807476699,161.896647146131,184.225322638368,156.365227921373,164.76064889193,143.759891565466
163.594212163892,354.618049220125,163.27061601024,181.288014181585,213.334064567677,179.036187359484,211.537483152266,181.155937972153,205.769539116608,172.650169999109
157.6491955162,313.505318967027,156.031155208186,167.853139315007,212.953122510103,165.707270531779,219.458393496839,165.500307059936,196.082334867353,170.075400163518
170.514866485591,329.940935854232,169.496894564416,174.326828885199,216.747740345482,174.083770157147,202.312594018437,177.929170937082,175.103507254784,178.310457297897
131.401852445715,251.140240401994,129.971588703678,137.350939179341,160.586174855282,136.305073308695,173.657915971893,138.383260038811,149.158483510763,144.54345338872
145.507565920636,304.43843689266,144.789730274179,169.144725090351,203.116462783073,165.99200850009,214.035572326277,176.370348063634,160.784598886609,151.15214932006
152.17326107432,301.026554414888,150.315169904293,157.478565514983,203.195230263266,151.482638080537,203.299126039196,156.09678555773,184.60193640745,164.384288849836
168.750251835501,329.949237563139,167.318988369149,162.629696478635,197.817529362471,167.757590831093,204.28461748441,167.320052926184,177.601284222751,177.806369839666
162.615096366643,324.512697707059,160.966737780273,194.238267726398,227.307288479557,186.597090160245,225.735287422822,187.512292873696,206.759873178543,171.852067419781
159.470010256634,319.968123911637,158.435657667592,161.517431139925,200.966977154281,161.556704899181,203.770319060053,163.757390084572,181.400271562409,171.445507110909
227.232333657432,469.827014587976,226.811360636382,261.66122424166,326.549195813917,259.698999130482,333.343342803355,248.573883027493,344.05862148823,227.922747886834
168.318556811396,351.415899454553,168.165644977162,183.687796026242,214.812815136642,177.901095846279,204.739225496183,184.399807317292,207.161397771073,175.103429764259
153.4075452666,323.340565014483,152.861667885642,173.246587718821,211.293152983348,179.982360202634,222.458223024549,170.491157711503,199.54732093794,167.653238365047
172.063441938456,343.377749157356,170.685489257115,176.347090033982,218.981248816116,178.867875361741,227.766604115549,179.59526832301,204.342727110237,182.757989052555
305.63418449345,591.498008949649,306.82764092565,362.037167030822,379.852902982784,354.328547784648,386.573624257369,386.719717095152,381.63196463709,314.311833705724
128.779351537947,269.207236655982,128.133121505311,151.720715143382,192.73749773572,153.993444583257,198.529148697586,151.417184181391,149.698731236399,128.266611003584
249.470854194401,462.752967399649,249.252236908576,294.80450068551,306.281359542985,302.250297235766,324.129173160034,309.337552527438,309.528701138567,264.531015149566
196.680408516623,386.087135454853,195.791440013994,214.888037877992,250.47423608181,212.86503114116,256.643876103997,211.328105548422,211.621592040807,198.456051827571
163.032735365529,319.58058632955,162.452753004127,168.203693452671,210.788978321211,169.227498453872,204.513712523383,167.270614385753,180.831911555149,174.111255258125
150.393974013573,328.553392226502,150.091008173779,181.525815247632,216.463789680598,179.19535367099,211.227048299924,176.619307168389,174.029279568973,159.962078235269
149.077097861405,303.710959131364,148.533725201616,151.939026305314,188.852231730941,151.796495635963,176.574863288139,157.812389617543,158.910499216191,159.019021344247
134.900338501653,271.618044493249,133.597692289931,151.540389264453,169.742225314232,150.440116894126,169.233949188575,147.403923200295,158.159579470654,145.479192620392
118.581567074246,231.914553390701,117.839002582825,139.920976150217,164.023417403555,138.669011440281,169.350221432246,143.317166753801,128.956767142211,119.077156168699
161.963515872662,304.608218368599,161.020334959966,167.249315178764,203.059058406805,166.462188706459,196.326276706712,175.219826838761,170.801052471063,168.372215103556
134.135094114903,268.312863843509,134.118728024036,150.456272335142,171.343362973117,151.856562511145,173.13425394916,145.553747428294,158.425639838032,146.464963380709
99.6462328467428,206.328072430743,98.9747091782794,98.3560407975522,126.41981410561,105.07717314405,132.973895881716,99.3512582016264,106.854284207959,106.946731683708
144.768162784167,314.738414413717,144.848576321926,162.481347567987,194.37145640709,163.40923822549,194.732262150248,165.598284416677,187.972074774126,158.245249629393
181.830464080209,348.569215583163,179.634034738206,193.400429963826,231.691341269068,195.420154123099,233.646818768073,190.005305284418,218.286437349644,192.509743139145
255.102384873548,504.50823152469,253.562486113387,275.78569461481,323.257594892002,268.150962029646,316.87587418747,274.687544515591,284.143323999655,266.616200899751
85.7016321084635,174.428476190199,85.1887745347915,94.5865093952068,131.510962402626,96.6060280375746,135.624107869405,92.4456448812542,108.538831688144,95.8460694833733
135.929409946783,249.777823214372,135.089495801931,133.700324746874,165.206671383337,136.591729676105,159.778412670515,139.913940421181,141.22031271635,147.559848889927
100.614824674543,193.939272095513,100.337713905193,106.704231078889,120.158798310559,110.812325817512,119.185199940928,107.363038509042,104.906166390764,113.063284744455
162.112316813774,341.061662331518,162.095357885817,180.497937165604,219.62928581011,179.812645543963,214.961080802702,184.100145143573,205.274264317403,175.174888335416
155.202601851428,295.694248929346,154.426848220066,156.170467329677,194.364107475768,157.165215009178,189.965835246976,154.582391114028,166.14867300188,161.721166610099
147.784005210474,311.085890835678,147.544764904682,179.23773239021,212.66551341228,179.90058407811,215.685155572993,177.520269924794,168.650527207399,152.452363045353
151.214834729685,301.015163800543,148.846921733579,167.615338038889,203.57943461803,160.126025272283,198.869570694499,161.239233624668,181.421645108211,164.768807905438
170.931058867563,343.832088158216,169.29161750143,173.929743608408,209.169393892629,172.596749395815,211.848203101817,176.473029542416,195.20837771996,178.338501215162
164.039499366754,336.518083891079,162.976787887414,160.813220386619,193.05234032563,162.635372606806,191.793751108612,164.294450380623,178.47986288815,175.010101075608
192.232278082314,371.399684738507,191.04133066472,216.478819068857,239.808777842831,214.486069606485,250.245580356806,214.933038969496,215.871985102468,201.491676954557
186.772500950029,339.627827256942,185.948958888471,198.352800633022,234.657065110254,201.208576816321,253.530940559283,194.920178239912,207.332548372184,190.149592124205
147.474388765773,337.610971332353,147.903839448082,169.738911332332,209.760262551499,167.735504009998,207.107080500187,162.436002584211,192.836778264876,163.938976738521
139.031170870042,300.34928789245,137.963290600773,131.460595047717,174.901811060085,134.658064561525,177.656535489134,136.241359980597,156.828658403083,145.749690870763
148.583762762872,301.105283385894,147.602726832205,158.551908849824,196.496966238354,159.868569175297,204.726651324888,158.77172026601,167.523883912345,157.027908787993
168.704046015399,319.130575930101,167.727305629122,163.044464334302,203.9574803442,162.417893673209,195.806798851498,167.866455279638,171.081955672103,174.595978234809
78.1192477806041,138.536651922591,77.5648530139702,77.7988335528669,101.497503436137,87.3352014688195,117.741361133629,78.7756105160729,90.0975469160528,82.7336191548351
226.562108134609,434.815884837116,226.370803046911,263.060021155523,312.988959812254,261.725605720698,329.75154342398,256.214399037557,292.130927333868,226.103796434457
141.455747639647,302.195381072722,141.440203604162,163.672259313833,192.668715885657,163.793713626933,193.233378871825,163.537897218427,184.041254450295,151.789339856796
208.720388047963,387.347009717172,208.82612291445,242.423661435923,277.119596889506,239.6197741959,282.14389954359,250.632686862388,258.839951313412,213.427891457384
