47.697,8.7103
47.693,8.6786
47.697,8.6756
47.707,8.6703
47.711,8.6706
47.712,8.6753
47.714,8.6989
47.713,8.705
47.711,8.7083
47.707,8.7097
NaN,NaN
53.602,6.8064
53.601,6.8047
53.601,6.7994
53.602,6.7967
53.602,6.7753
53.598,6.7531
53.597,6.7492
53.587,6.7256
53.585,6.7231
53.581,6.7269
53.56,6.7469
53.567,6.6906
53.571,6.6733
53.576,6.6639
53.58,6.66
53.586,6.6583
53.593,6.6586
53.599,6.6611
53.601,6.6631
53.604,6.6694
53.619,6.7475
53.619,6.7586
53.617,6.7722
53.604,6.8042
NaN,NaN
53.669,6.9394
53.666,6.8936
53.667,6.8828
53.668,6.8786
53.67,6.8764
53.672,6.8783
53.674,6.8814
53.677,6.8989
53.681,6.9436
53.687,7.0636
53.687,7.0811
53.686,7.0856
53.684,7.0883
53.682,7.0883
53.68,7.0842
NaN,NaN
53.704,7.2425
53.699,7.1586
53.7,7.1483
53.702,7.1408
53.706,7.1358
53.709,7.1372
53.711,7.1403
53.72,7.1753
53.725,7.2011
53.727,7.2986
53.727,7.3269
53.726,7.3369
53.724,7.3408
53.721,7.3469
53.718,7.3458
53.715,7.3275
53.706,7.2628
NaN,NaN
53.725,8.1911
53.709,8.1242
53.71,8.1208
53.713,8.12
53.724,8.1247
53.728,8.1292
53.731,8.1353
53.734,8.1428
53.736,8.1564
53.735,8.1731
53.733,8.1817
53.73,8.1883
53.726,8.1933
NaN,NaN
53.754,7.6222
53.744,7.6286
53.742,7.6289
53.744,7.6217
53.747,7.6078
53.749,7.5869
53.749,7.5753
53.746,7.5183
53.745,7.5142
53.743,7.5111
53.722,7.4781
53.723,7.4736
53.727,7.4692
53.733,7.4678
53.74,7.4686
53.749,7.4722
53.755,7.4789
53.757,7.4858
53.76,7.5158
53.761,7.5756
53.761,7.6097
53.76,7.615
53.759,7.6183
NaN,NaN
53.761,7.7589
53.755,7.6697
53.759,7.6647
53.762,7.6644
53.764,7.6658
53.769,7.6694
53.773,7.6744
53.778,7.6839
53.779,7.6986
53.778,7.8047
53.777,7.81
