lon_deg,lat_deg,date,ozone,units,qc_flag
50.875,6.125,21-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,22-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,23-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,24-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,25-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,26-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,27-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,28-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,29-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,30-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,31-Mar-2011,3.89677425161485,µg m^-3,0
50.875,6.125,01-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,02-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,03-Apr-2011,7.30333344216148,µg m^-3,0
50.875,6.125,04-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,05-Apr-2011,0.303333337853352,µg m^-3,0
50.875,6.125,06-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,07-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,08-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,09-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,10-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,11-Apr-2011,0.503333340833584,µg m^-3,0
50.875,6.125,12-Apr-2011,0.903333346794049,µg m^-3,0
50.875,6.125,13-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,14-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,15-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,16-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,17-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,18-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,19-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,20-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,21-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,22-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,23-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,24-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,25-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,26-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,27-Apr-2011,7.80333344961206,µg m^-3,0
50.875,6.125,28-Apr-2011,1.80333336020509,µg m^-3,0
50.875,6.125,29-Apr-2011,-0.296666671087344,µg m^-3,0
50.875,6.125,30-Apr-2011,-0.796666678537925,µg m^-3,0
50.875,6.125,01-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,02-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,03-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,04-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,05-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,06-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,07-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,08-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,09-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,10-May-2011,-0.603225815440378,µg m^-3,0
50.875,6.125,11-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,12-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,13-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,14-May-2011,0.796774205421248,µg m^-3,0
50.875,6.125,15-May-2011,2.69677423373345,µg m^-3,0
50.875,6.125,16-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,17-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,18-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,19-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,20-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,21-May-2011,-0.703225816930494,µg m^-3,0
50.875,6.125,22-May-2011,1.89677422181252,µg m^-3,0
50.875,6.125,23-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,24-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,25-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,26-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,27-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,28-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,29-May-2011,-0.80322581842061,µg m^-3,0
50.875,6.125,30-May-2011,6.29677428737763,µg m^-3,0
50.875,6.125,31-May-2011,8.89677432612065,µg m^-3,0
50.875,6.125,01-Jun-2011,-2.91333337674538,µg m^-3,0
50.875,6.125,02-Jun-2011,-2.91333337674538,µg m^-3,0
50.875,6.125,03-Jun-2011,-2.91333337674538,µg m^-3,0
50.875,6.125,04-Jun-2011,4.68666673650344,µg m^-3,0
50.875,6.125,05-Jun-2011,5.48666674842437,µg m^-3,0
50.875,6.125,06-Jun-2011,6.2866667603453,µg m^-3,0
50.875,6.125,07-Jun-2011,10.9866668303808,µg m^-3,0
50.875,6.125,08-Jun-2011,-2.91333337674538,µg m^-3,0
50.875,6.125,09-Jun-2011,-2.91333337674538,µg m^-3,0
50.875,6.125,10-Jun-2011,2.98666671117147,µg m^-3,0
50.875,6.125,11-Jun-2011,-1.41333335439364,µg m^-3,0
50.875,6.125,12-Jun-2011,-2.91333337674538,µg m^-3,0
50.875,6.125,13-Jun-2011,-1.71333335886399,µg m^-3,0
50.875,6.125,14-Jun-2011,-2.91333337674538,µg m^-3,0
50.875,6.125,15-Jun-2011,-2.91333337674538,µg m^-3,0
50.875,6.125,16-Jun-2011,3.58666672011216,µg m^-3,0
50.875,6.125,17-Jun-2011,0.886666679879029,µg m^-3,0
50.875,6.125,18-Jun-2011,0.286666670938333,µg m^-3,0
50.875,6.125,19-Jun-2011,-0.813333345452945,µg m^-3,0
50.875,6.125,20-Jun-2011,4.98666674097379,µg m^-3,0
50.875,6.125,21-Jun-2011,-1.81333336035411,µg m^-3,0
50.875,6.125,22-Jun-2011,2.78666670819124,µg m^-3,0
50.875,6.125,23-Jun-2011,-0.913333346943061,µg m^-3,0
50.875,6.125,24-Jun-2011,-0.813333345452945,µg m^-3,0
50.875,6.125,25-Jun-2011,-1.41333335439364,µg m^-3,0
50.875,6.125,26-Jun-2011,-2.91333337674538,µg m^-3,0
50.875,6.125,27-Jun-2011,-2.91333337674538,µg m^-3,0
50.875,6.125,28-Jun-2011,0.186666669448217,µg m^-3,0
50.875,6.125,29-Jun-2011,-2.4133333692948,µg m^-3,0
50.875,6.125,30-Jun-2011,-2.71333337376515,µg m^-3,0
50.875,6.125,01-Jul-2011,0.574193556943247,µg m^-3,0
50.875,6.125,02-Jul-2011,-1.82580647881954,µg m^-3,0
50.875,6.125,03-Jul-2011,-1.82580647881954,µg m^-3,0
50.875,6.125,04-Jul-2011,-1.82580647881954,µg m^-3,0
50.875,6.125,05-Jul-2011,-1.82580647881954,µg m^-3,0
50.875,6.125,06-Jul-2011,-1.72580647732942,µg m^-3,0
50.875,6.125,07-Jul-2011,-1.82580647881954,µg m^-3,0
50.875,6.125,08-Jul-2011,-0.925806465408494,µg m^-3,0
50.875,6.125,09-Jul-2011,-0.425806457957914,µg m^-3,0
50.875,6.125,10-Jul-2011,-0.52580645944803,µg m^-3,0
50.875,6.125,11-Jul-2011,-1.82580647881954,µg m^-3,0
50.875,6.125,12-Jul-2011,2.27419358227522,µg m^-3,0
50.875,6.125,13-Jul-2011,2.57419358674557,µg m^-3,0
50.875,6.125,14-Jul-2011,1.87419357631476,µg m^-3,0
50.875,6.125,15-Jul-2011,-1.82580647881954,µg m^-3,0
50.875,6.125,16-Jul-2011,5.8741936359194,µg m^-3,0
50.875,6.125,17-Jul-2011,-0.925806465408494,µg m^-3,0
50.875,6.125,18-Jul-2011,-1.72580647732942,µg m^-3,0
50.875,6.125,19-Jul-2011,1.37419356886418,µg m^-3,0
50.875,6.125,20-Jul-2011,-1.82580647881954,µg m^-3,0
50.875,6.125,21-Jul-2011,0.974193562903712,µg m^-3,0
50.875,6.125,22-Jul-2011,-1.82580647881954,µg m^-3,0
50.875,6.125,23-Jul-2011,6.07419363889963,µg m^-3,0
50.875,6.125,24-Jul-2011,1.37419356886418,µg m^-3,0
50.875,6.125,25-Jul-2011,-1.12580646838873,µg m^-3,0
